Patentnumber;Similarity (DSS-Inclusion);Science-driven novelty dummy
US6504135;0;0
US6531957;0.01242236;1
US6549064;0.08202989;1
US6550674;0.002109705;1
US6552922;0.02564103;1
US6567259;0.01084475;1
US6569319;0.04521276;1
US6578458;0;0
US6578712;0.03374233;1
US6580358;0.006849315;1
US6580365;0;0
US6585009;0;0
US6592043;0.00729927;1
US6598800;0;0
US6600443;0;0
US6601764;0;0
US6604063;0.002070393;1
US6611758;0;0
US6615881;0;0
US6618022;0.00748343;1
US6618024;0.01;1
US6621099;0.01832461;1
US6628239;0;0
US6639459;0.04524887;1
US6639514;0;0
US6642782;0.01900585;1
US6642897;0.002244669;1
US6645401;0.1228314;1
US6646328;0.002070393;1
US6649829;0.03224129;1
US6651488;0.01860465;1
US6657170;0;0
US6662078;0.01338432;1
US6662642;0;0
US6664520;0;0
US6664897;0;0
US6665193;0.01991422;1
US6665983;0.04615967;1
US6666379;0.04030227;1
US6667092;0;0
US6667215;0.01201201;1
US6667690;0;0
US6669094;0.004140787;1
US6671200;0.01178993;1
US6671358;0;0
US6672341;0;0
US6672807;0.005116959;1
US6672808;0.01229212;1
US6673250;0.04320079;1
US6676017;0;0
US6676023;0.04738956;1
US6676857;0.07475813;1
US6677917;0;0
US6681444;0;0
US6681989;0.004140787;1
US6681990;0;0
US6687609;0.002070393;1
US6687990;0;0
US6690255;0.004140787;1
US6693397;0;0
US6693432;0.02325581;1
US6693513;0.006666667;1
US6693540;0;0
US6694115;0.04099822;1
US6695501;0.01388889;1
US6695978;0.06478734;1
US6698116;0.03192279;1
US6698619;0.002070393;1
US6699726;0.0420712;1
US6700385;0.04672058;1
US6700491;0;0
US6700547;0;0
US6701217;0.004415011;1
US6702106;0;0
US6703935;0.008417509;1
US6705105;0;0
US6705106;0.004140787;1
US6707376;0;0
US6707381;0.004140787;1
US6708176;0.01292802;1
US6708877;0.002070393;1
US6708881;0;0
US6709333;0;0
US6712446;0.004784689;1
US6714736;0.01224847;1
US6720920;0.002070393;1
US6720930;0.004140787;1
US6724690;0.01511111;1
US6725713;0.01797577;1
US6726099;0.002994012;1
US6726100;0;0
US6726144;0.01117318;1
US6727817;0.002070393;1
US6729584;0.002070393;1
US6733495;0.01492537;1
US6734797;0.0268595;1
US6735506;0.008281574;1
US6736316;0;0
US6738689;0.02155887;1
US6738697;0;0
US6738712;0;0
US6739511;0.1066452;1
US6739691;0.0124031;1
US6742714;0.00461361;1
US6743319;0.0388601;1
US6746751;0;0
US6747560;0;0
US6748292;0;0
US6750093;0.009803922;1
US6750767;0.002070393;1
US6750769;0;0
US6752277;0;0
US6753783;0.08287961;1
US6754605;0.01388889;1
US6756777;0;0
US6756880;0.01754386;1
US6757917;0.002898551;1
US6758089;0.002070393;1
US6759083;0.002178649;1
US6759789;0.03463203;1
US6759959;0;0
US6761427;0.002178649;1
US6763231;0;0
US6766650;0.01886792;1
US6766651;0;0
US6768132;0.008281574;1
US6768419;0;0
US6768944;0.01084337;1
US6770176;0;0
US6770509;0;0
US6770904;0.04184704;1
US6772663;0.008281574;1
US6774346;0;0
US6774762;0.004357298;1
US6774782;0;0
US6774800;0.04047871;1
US6775588;0.008928572;1
US6775616;0;0
US6777529;0.04896422;1
US6777617;0.04492512;1
US6777623;0;0
US6777829;0.053;1
US6778089;0.02424242;1
US6779721;0.002178649;1
US6780265;0;0
US6781508;0.004140787;1
US6782316;0.005340454;1
US6782601;0.01473297;1
US6782750;0;0
US6783072;0.04749568;1
US6784017;0.004140787;1
US6784359;0.002070393;1
US6784379;0.01728058;1
US6784813;0.03733333;1
US6784842;0;0
US6785674;0.04486087;1
US6786058;0.004357298;1
US6786355;0.004140787;1
US6788205;0.02058987;1
US6789619;0.003100775;1
US6789864;0;0
US6791591;0;0
US6791603;0.03668262;1
US6793139;0.004761905;1
US6793817;0.002070393;1
US6794000;0;0
US6796429;0.002070393;1
US6796505;0.008888889;1
US6796506;0;0
US6796508;0.004357298;1
US6796908;0.002070393;1
US6798716;0.004920049;1
US6800763;0.08571429;1
US6801130;0;0
US6801833;0.01555556;1
US6802373;0;0
US6802447;0;0
US6803262;0.02788845;1
US6804626;0.008281574;1
US6805291;0.0399061;1
US6805922;0.08583333;1
US6806374;0.09327846;1
US6806520;0.003831418;1
US6806649;0;0
US6806842;0;0
US6807458;0.002070393;1
US6808116;0.002070393;1
US6809645;0.002070393;1
US6809646;0;0
US6809952;0.0375817;1
US6812707;0.01546157;1
US6812838;0.002070393;1
US6812841;0.01242236;1
US6812849;0.002070393;1
US6813209;0.04257528;1
US6814284;0.01926164;1
US6814287;0;0
US6814329;0.01819686;1
US6816063;0;0
US6816083;0;0
US6816125;0.002178649;1
US6816380;0.04208754;1
US6817287;0.004310345;1
US6817517;0.05781585;1
US6817522;0.002178649;1
US6817530;0.0530483;1
US6817693;0.002070393;1
US6818260;0.09329446;1
US6819244;0.00243309;1
US6819783;0.0539752;1
US6820314;0.002070393;1
US6820897;0.02496329;1
US6821348;0.09416522;1
US6821878;0.004357298;1
US6822204;0;0
US6822551;0.004140787;1
US6822582;0.002178649;1
US6823244;0.006839945;1
US6824320;0.08613446;1
US6824706;0.08985507;1
US6824857;0.05733333;1
US6825620;0.02822341;1
US6825767;0.002070393;1
US6827265;0.1428571;1
US6827279;0.02262057;1
US6827281;0;0
US6827817;0.002070393;1
US6828941;0.01155115;1
US6829520;0.005224661;1
US6830083;0;0
US6830184;0.1055901;1
US6830185;0.1876597;1
US6830193;0.03871577;1
US6830639;0;0
US6831598;0.007428041;1
US6831664;0;0
US6832866;0;0
US6834248;0;0
US6834612;0.004553734;1
US6835900;0.004357298;1
US6836215;0;0
US6836472;0;0
US6837427;0.004140787;1
US6837432;0.07979003;1
US6839035;0.008714597;1
US6839629;0;0
US6840440;0.002267574;1
US6840444;0.04225352;1
US6840445;0.003527337;1
US6841677;0.1149273;1
US6841981;0.006535948;1
US6842106;0;0
US6842116;0.03333334;1
US6843415;0;0
US6843422;0.04252401;1
US6843725;0.002666667;1
US6844821;0.002347418;1
US6844859;0.02651515;1
US6845034;0.0698152;1
US6845453;0;0
US6845863;0;0
US6845909;0;0
US6846056;0;0
US6847126;0.01089325;1
US6847831;0.04841713;1
US6847856;0;0
US6847912;0.06970774;1
US6848162;0;0
US6848616;0.03090508;1
US6850147;0;0
US6850160;0;0
